track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams(10 million),in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,3.9058561,58,18,2,106,4,2,184,116,B,Major,77,79,62,33,1,15,3
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,3.6912123,99,15,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,120.5951614,41751,25,101,32,"2,655",0,666,112,G,Major,64,54,81,36,0,11,6
No Role Modelz,J. Cole,1,2014,12,9,179.100057,21164,36,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33
Tattoo,Loreen,1,2023,2,25,20.1660859,2988,59,74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8
Rara Vez,"Taiu, Milo j",2,2023,2,8,24.8088961,893,38,19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,9.0839753,1094,34,40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6
august,Taylor Swift,1,2020,7,24,60.7123776,7324,22,25,81,61,1,44,90,F,Major,51,42,61,53,0,9,3
LUNA,"Junior H, Peso Pluma",2,2023,6,22,5.5842345,201,11,19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,21.1050784,5120,48,161,115,246,9,638,143,A,Major,64,31,87,4,4,8,4
Nonsense,Sabrina Carpenter,1,2022,7,15,34.2897938,2346,27,69,12,38,8,64,139,G#,Major,74,68,68,3,0,26,4
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,0.0002762,763,26,21,110,21,9,71,162,A#,Major,49,78,64,19,0,11,4
Por las Noches,Peso Pluma,1,2021,6,11,33.0346424,457,24,8,116,4,3,2,92,,Major,81,39,60,31,0,7,3
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,60.1863821,3430,38,45,69,52,4,3,95,F,Major,87,57,55,10,0,29,7
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,195.3533826,6074,52,201,44,"6,551",2,0,146,D,Major,63,88,93,3,0,10,8
Watermelon Sugar,Harry Styles,1,2019,11,17,232.2580122,21915,34,437,115,"1,212",12,,95,,Major,55,56,82,12,0,34,5
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,235.5719893,15032,30,221,96,"1,078",2,136,115,E,Minor,35,12,30,93,0,10,3
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,6.6902503,871,32,25,59,32,5,88,128,B,Major,78,59,65,10,0,26,5
Queencard,(G)I-DLE,1,2023,5,15,9.6273746,451,33,10,126,7,0,148,130,E,Minor,82,69,83,3,0,27,5
OMG,NewJeans,1,2023,1,2,43.0977451,1783,27,26,124,15,1,22,127,A,Minor,80,74,77,36,0,11,4
Radio,Lana Del Rey,1,2011,1,1,28.4819874,9389,46,24,122,282,3,368,150,D,Major,42,20,86,21,0,9,9
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,72.1975598,5724,44,119,108,254,29,22,122,D,Minor,78,50,63,27,0,9,5
505,Arctic Monkeys,1,2007,4,20,121.712071,13985,25,30,80,588,1,1,140,,Major,52,20,85,0,0,7,5
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,10.9276132,1051,16,31,37,31,0,189,140,,Major,63,22,54,46,0,12,8
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,27.6259178,1682,46,24,90,30,1,176,119,C#,Minor,75,48,53,18,0,18,34
Tere Vaaste (From "Zara Hatke Zara Bachke"),"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,5.4225632,182,8,3,88,1,0,52,110,G,Minor,76,96,72,32,0,9,4
Perfect,Ed Sheeran,1,2017,1,1,255.9529074,16596,13,7,0,"2,094",0,0,95,G#,Major,60,17,45,16,0,11,2
Romantic Homicide,d4vd,1,2022,7,20,68.1583126,2335,23,82,55,50,0,9,132,F#,Major,56,20,55,45,1,32,3
Believer,Imagine Dragons,1,2017,1,31,259.4040133,18986,23,250,121,"2,969",10,31,125,A#,Minor,77,74,78,4,0,23,11
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,8.1102253,283,7,6,9,26,1,66,124,D#,Minor,84,65,50,67,0,13,6
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,1.1956641,293,8,5,2,30,2,66,133,B,Minor,93,68,65,42,0,12,25
Without Me,Eminem,1,2002,1,1,168.7664027,21081,43,98,76,"3,889",5,0,112,G,Major,92,67,66,0,0,36,9
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,1.1599388,437,31,17,29,26,3,208,97,,Major,79,92,89,5,0,6,5
